x,y,z
-0.6753535673850187,0.4058080407687266,-0.900471423180025
-0.6456708328425467,0.43041145894681665,-0.8608944437900622
-0.6145712499073446,0.45678593761581926,-0.8194283332097928
-0.5821895115226993,0.48476311059662586,-0.7762526820302658
-0.5486665906286384,0.514166761714202,-0.731555454171518
-0.5141490496765437,0.5448136879043203,-0.6855320662353916
-0.4787883227663374,0.5765145965420782,-0.6383844303551166
-0.44273997392233616,0.6090750325970797,-0.5903199652297816
-0.40616293514074125,0.6422963310740734,-0.541550580187655
-0.36921872794080013,0.6759765900739997,-0.4922916372544002
-0.3320706722324874,0.7099116597093906,-0.44276089630998317
-0.2948830863756686,0.7438961420304142,-0.3931774485008914
-0.2578204823488555,0.7777243970639305,-0.3437606431318073
-0.2210467599696211,0.8111915500379735,-0.29472901329282813
-0.18472440411337487,0.8440944948582813,-0.24629920548449985
-0.14901368886252403,0.8762328889218448,-0.19868491848336536
-0.1140718924841017,0.9074101343948727,-0.15209585664546887
-0.08005252708089296,0.9374343411488837,-0.1067367027745239
-0.04710458668923336,0.966119266638458,-0.06280611558564449
-0.01537181750629537,0.9932852281171306,-0.020495756675060508
0.015007986178714764,1.0187599827233933,0.020010648238286376
0.04390365690091297,1.042379571126141,0.058538209201217356
0.07119129647791549,1.0639891205973941,0.0949217286372207
0.09675488286307386,1.0834436035788422,0.12900651048409847
0.12048683842139914,1.1006085480267487,0.16064911789519884
0.14228855684476466,1.1153606960559557,0.18971807579301958
0.16207088612555307,1.127588607656941,0.21609451483407083
0.17975456522314423,1.13719320652893,0.23967275363085902
0.19527061228445267,1.1440882653555655,0.2603608163792702
0.208560662517008,1.1482008281462597,0.27808088335601067
0.21957725405967984,1.1494715675745995,0.29276967207957316
0.22828406045084917,1.1478550755635613,0.30437874726779895
0.23465606855539897,1.1433200856942485,0.3128747580738653
0.2386797010790372,1.1358496263487963,0.3182396014387163
0.24035288306987776,1.1254411038373469,0.320470510759837
0.23968505208155352,1.1121063151019415,0.3195800694420714
0.23669711194808324,1.0958713899351038,0.315596149264111
0.23142133039690363,1.076776662996129,0.3085617738625382
0.2239011810015562,1.054876476251945,0.298534908002075
0.2141911302481463,1.0302389128101825,0.2855881736641951
0.2023563707585218,1.0029454634481518,0.2698084943446958
0.1884725019768443,0.9730906274710549,0.2512966693024591
0.17262515988354982,0.9407814498544368,0.23016687984473308
0.1549095975503604,0.90613699693795,0.20654613006714725
0.13543021859078583,0.8692877732384818,0.18057362478771447
0.11430006579127935,0.8303750822390987,0.15240008772170582
0.09164026742772576,0.7895503342846567,0.12218702323696767
0.06757944397920752,0.7469743049740089,0.09010592530561004
0.04225307814496342,0.7028163476812038,0.056337437526617906
0.015802851250196807,0.6572535640627455,0.021070468333595757
-0.011624050708983697,0.6104699366137698,-0.015498734278644916
-0.03987565798249926,0.5626554275218754,-0.05316754397666566
-0.06879596141405905,0.5140050482324257,-0.09172794855207875
-0.09822567657392862,0.46471790428258863,-0.13096756876523818
-0.1280030239339862,0.4149962200825167,-0.17067069857864825
-0.15796452126376997,0.36504434842028693,-0.21061936168502662
-0.18794578436635984,0.3150677695420496,-0.25059437915514643
-0.21778233223208993,0.265272084709887,-0.2903764429761199
-0.24731039266645133,0.21586200916693524,-0.3297471902219351
-0.27636770444621805,0.1670403694422268,-0.3684902725949574
-0.3047943120748358,0.11900710990645456,-0.4063924160997811
-0.3324333492443629,0.07195831344454572,-0.44324446565915054
-0.3591318071665671,0.026085241041790407,-0.4788424095554229
-0.3847412840098938,-0.01842660501236797,-0.5129883786798585
-0.4091187117715606,-0.0613983897144515,-0.5454916156954142
-0.43212705702456317,-0.1026588212807047,-0.5761694093660843
-0.45363599210733063,-0.14204499013416405,-0.6048479894764409
-0.4735225334685471,-0.1794031668356846,-0.6313633779580629
-0.4916716440405226,-0.21458955505065405,-0.6555621920540302
-0.5079767966906928,-0.24747099586336682,-0.6773023955875905
-0.5223404959914603,-0.277925619989326,-0.6964539946552802
-0.5346747557527494,-0.30584344469093755,-0.7128996743369993
-0.5449015299783213,-0.33112691247290243,-0.7265353733044284
-0.552953095135023,-0.3536913689187796,-0.7372707935133641
-0.5587723818626193,-0.373465477328275,-0.7450298424834925
-0.5623132544994899,-0.3903915681243631,-0.7497510059993198
-0.5635407370550765,-0.4044259213188464,-0.7513876494067686
-0.5624311845222673,-0.41553898065283495,-0.7499082460296898
-0.5589723986906296,-0.42371549836328787,-0.7452965315875062
-0.5531636878932383,-0.42895460986654876,-0.7375515838576511
-0.5450158703944602,-0.43126983799307617,-0.7266878271926137
-0.5345512214021005,-0.43068902675262655,-0.7127349618694674
-0.5218033639634465,-0.42725420495430905,-0.6957378186179287
-0.5068171042795988,-0.4210213803494994,-0.6757561390394651
-0.48964821224472105,-0.41206026530590223,-0.6528642829929614
-0.4703631482851266,-0.40045393535640916,-0.6271508643801688
-0.4490387378361441,-0.3862984222951811,-0.5987183171148588
-0.42576179505117434,-0.3697022438139689,-0.5676823934015658
-0.4006286975860104,-0.350785871982514,-0.5341715967813473
-0.37374491454112907,-0.3296811431764123,-0.49832655272150544
-0.3452244898740894,-0.3065306123426127,-0.4602993198321192
-0.3151894838122869,-0.2814868547653596,-0.4202526450830492
-0.2837693750020214,-0.25471171875252774,-0.37835916666936187
-0.25110042632215307,-0.2263755329026924,-0.3348005684295375
-0.21732501746859084,-0.19665627183573958,-0.2897666899581211
-0.18259094757861366,-0.16573868447326814,-0.2434545967714849
-0.14705071131077152,-0.13381338913846547,-0.1960676150810287
-0.11086075192612464,-0.10107593990765688,-0.14781433590149953
-0.0741806950292303,-0.06772586878653895,-0.09890759337230706
-0.03717256672201246,-0.03396570840251667,-0.04956342229601662
3.3040237212844656e-15,3.0198066269804257e-15,4.405364961712621e-15
0.03717256672201905,0.03396570840252269,0.04956342229602541
0.07418069502923685,0.06772586878654493,0.0989075933723158
0.11086075192613112,0.10107593990766275,0.14781433590150816
0.1470507113107779,0.1338133891384712,0.1960676150810372
0.18259094757861993,0.16573868447327375,0.24345459677149325
0.2173250174685969,0.19665627183574497,0.2897666899581292
0.251100426322159,0.22637553290269757,0.33480056842954536
0.2837693750020271,0.2547117187525327,0.3783591666693695
0.3151894838122923,0.28148685476536417,0.42025264508305643
0.34522448987409454,0.3065306123426169,0.4602993198321261
0.37374491454113395,0.3296811431764162,0.498326552721512
0.40062869758601505,0.35078587198251754,0.5341715967813534
0.4257617950511786,0.369702243813972,0.5676823934015715
0.44903873783614806,0.3862984222951838,0.5987183171148641
0.47036314828513015,0.4004539353564114,0.6271508643801735
0.4896482122447242,0.412060265305904,0.6528642829929657
0.5068171042796017,0.42102138034950076,0.675756139039469
0.521803363963449,0.42725420495430994,0.695737818617932
0.5345512214021026,0.43068902675262694,0.7127349618694702
0.5450158703944619,0.431269837993076,0.7266878271926158
0.5531636878932396,0.42895460986654815,0.7375515838576528
0.5589723986906304,0.42371549836328665,0.7452965315875073
0.5624311845222677,0.4155389806528332,0.7499082460296903
0.5635407370550765,0.40442592131884414,0.7513876494067686
0.5623132544994894,0.3903915681243604,0.7497510059993192
0.5587723818626185,0.37346547732827173,0.7450298424834914
0.5529530951350218,0.3536913689187759,0.7372707935133624
0.5449015299783198,0.3311269124728982,0.7265353733044263
0.5346747557527474,0.3058434446909328,0.7128996743369965
0.5223404959914578,0.27792561998932086,0.6964539946552771
0.5079767966906902,0.24747099586336122,0.6773023955875869
0.49167164404051955,0.214589555050648,0.6555621920540261
0.47352253346854367,0.1794031668356781,0.6313633779580583
0.45363599210732697,0.1420449901341572,0.6048479894764359
0.43212705702455917,0.10265882128069748,0.576169409366079
0.4091187117715564,0.061398389714444,0.5454916156954086
0.38474128400988933,0.01842660501236013,0.5129883786798525
0.3591318071665625,-0.02608524104179839,0.47884240955541674
0.3324333492443581,-0.07195831344455393,0.44324446565914416
0.3047943120748309,-0.11900710990646297,0.4063924160997745
0.27636770444621295,-0.1670403694422354,0.3684902725949506
0.2473103926664461,-0.21586200916694392,0.32974719022192817
0.21778233223208468,-0.2652720847098958,0.29037644297611287
0.1879457843663545,-0.31506776954205845,0.2505943791551393
0.15796452126376465,-0.3650443484202958,0.21061936168501952
0.1280030239339809,-0.4149962200825255,0.17067069857864114
0.09822567657392337,-0.4647179042825974,0.13096756876523113
0.06879596141405386,-0.5140050482324343,0.09172794855207185
0.03987565798249417,-0.5626554275218839,0.05316754397665888
0.01162405070897874,-0.6104699366137782,0.015498734278638316
-0.015802851250201602,-0.6572535640627537,-0.021070468333602172
-0.04225307814496803,-0.7028163476812117,-0.05633743752662407
-0.06757944397921195,-0.7469743049740166,-0.09010592530561595
-0.0916402674277299,-0.7895503342846641,-0.12218702323697322
-0.11430006579128324,-0.8303750822391057,-0.152400087721711
-0.13543021859078944,-0.8692877732384886,-0.1805736247877193
-0.1549095975503637,-0.9061369969379564,-0.20654613006715164
-0.1726251598835528,-0.9407814498544428,-0.2301668798447371
-0.18847250197684695,-0.9730906274710605,-0.25129666930246264
-0.2023563707585241,-1.002945463448157,-0.2698084943446989
-0.2141911302481482,-1.030238912810187,-0.28558817366419764
-0.22390118100155776,-1.054876476251949,-0.29853490800207705
-0.23142133039690474,-1.0767766629961328,-0.3085617738625397
-0.236697111948084,-1.095871389935107,-0.315596149264112
-0.23968505208155386,-1.1121063151019441,-0.31958006944207185
-0.24035288306987765,-1.125441103837349,-0.3204705107598369
-0.23867970107903666,-1.1358496263487978,-0.31823960143871555
-0.234656068555398,-1.1433200856942494,-0.31287475807386406
-0.22828406045084784,-1.1478550755635617,-0.3043787472677972
-0.21957725405967807,-1.1494715675745995,-0.29276967207957083
-0.20856066251700586,-1.1482008281462592,-0.27808088335600784
-0.19527061228445008,-1.1440882653555646,-0.2603608163792668
-0.17975456522314126,-1.1371932065289285,-0.23967275363085505
-0.1620708861255498,-1.1275886076569392,-0.2160945148340664
-0.14228855684476097,-1.1153606960559532,-0.1897180757930147
-0.12048683842139506,-1.1006085480267458,-0.16064911789519346
-0.09675488286306946,-1.0834436035788388,-0.12900651048409262
-0.07119129647791078,-1.0639891205973906,-0.09492172863721439
-0.04390365690090804,-1.042379571126137,-0.05853820920121071
-0.015007986178709463,-1.0187599827233889,-0.020010648238279364
0.015371817506300886,-0.9932852281171259,0.020495756675067808
0.04710458668923915,-0.9661192666384532,0.06280611558565219
0.08005252708089887,-0.9374343411488785,0.1067367027745318
0.1140718924841078,-0.9074101343948673,0.1520958566454771
0.14901368886253033,-0.8762328889218393,0.1986849184833737
0.18472440411338129,-0.8440944948582755,0.24629920548450834
0.2210467599696276,-0.8111915500379676,0.29472901329283685
0.25782048234886207,-0.7777243970639246,0.3437606431318161
0.2948830863756752,-0.7438961420304082,0.39317744850090025
0.33207067223249404,-0.7099116597093846,0.442760896309992
0.3692187279408068,-0.6759765900739937,0.492291637254409
0.4061629351407478,-0.6422963310740675,0.5415505801876638
0.4427399739223426,-0.609075032597074,0.5903199652297901
0.47878832276634375,-0.5765145965420725,0.638384430355125
0.51414904967655,-0.5448136879043147,0.6855320662354
0.5486665906286445,-0.5141667617141966,0.731555454171526
0.5821895115227051,-0.4847631105966208,0.7762526820302735
0.6145712499073502,-0.45678593761581443,0.8194283332098004
0.645670832842552,-0.43041145894681215,0.8608944437900694
